Control Area,NYISO,NYISO,NYISO,NYISO,NYISO,NYISO,NYISO,NYISO,NYISO,NYISO,NYISO
ZoneID,28,29,30,31,32,33,34,35,36,37,38
Zone,ZONE A,ZONE B,ZONE C,ZONE D,ZONE E,ZONE F,ZONE G,ZONE H,ZONE I,ZONE J,ZONE K
Month,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE
12/1/2022,$54.42 ,$54.42 ,$55.47 ,$52.99 ,$49.77 ,$98.78 ,$84.39 ,$83.88 ,$81.92 ,$89.62 ,$89.39 
1/1/2023,$78.26 ,$89.19 ,$84.10 ,$81.02 ,$71.02 ,$229.99 ,$207.18 ,$195.14 ,$198.00 ,$203.89 ,$203.40 
2/1/2023,$66.35 ,$71.68 ,$67.10 ,$63.61 ,$56.13 ,$211.27 ,$182.84 ,$183.39 ,$177.31 ,$182.73 ,$176.97 
3/1/2023,$47.31 ,$49.66 ,$50.70 ,$49.65 ,$43.54 ,$100.33 ,$89.00 ,$89.34 ,$89.01 ,$93.18 ,$97.72 
4/1/2023,$32.13 ,$29.27 ,$30.97 ,$30.67 ,$31.01 ,$61.61 ,$56.84 ,$57.06 ,$57.80 ,$62.39 ,$64.55 
5/1/2023,$19.11 ,$19.38 ,$20.39 ,$23.89 ,$23.02 ,$50.35 ,$43.93 ,$44.28 ,$45.35 ,$46.79 ,$51.93 
6/1/2023,$30.27 ,$25.51 ,$25.20 ,$30.50 ,$30.26 ,$61.01 ,$54.34 ,$54.85 ,$56.13 ,$62.80 ,$67.30 
7/1/2023,$56.48 ,$53.32 ,$54.27 ,$56.70 ,$57.95 ,$84.50 ,$81.57 ,$81.96 ,$82.01 ,$87.13 ,$95.34 
8/1/2023,$47.15 ,$41.52 ,$42.47 ,$41.97 ,$45.13 ,$70.54 ,$68.03 ,$68.26 ,$68.40 ,$72.97 ,$72.54 
9/1/2023,$27.81 ,$21.69 ,$22.87 ,$25.62 ,$28.30 ,$52.46 ,$47.70 ,$48.06 ,$47.94 ,$50.79 ,$55.31 
10/1/2023,$22.70 ,$19.34 ,$19.97 ,$23.57 ,$23.14 ,$54.95 ,$45.30 ,$46.22 ,$47.85 ,$50.62 ,$60.93 
11/1/2023,$31.50 ,$29.99 ,$30.79 ,$33.83 ,$35.43 ,$78.15 ,$62.81 ,$65.59 ,$67.61 ,$68.44 ,$83.36 
12/1/2023,$48.36 ,$46.90 ,$47.90 ,$49.30 ,$43.03 ,$116.68 ,$98.00 ,$96.49 ,$97.73 ,$104.28 ,$106.04 
1/1/2024,$73.24 ,$76.81 ,$86.69 ,$80.51 ,$63.63 ,$180.34 ,$158.49 ,$151.29 ,$156.86 ,$158.66 ,$159.95 
2/1/2024,$66.57 ,$66.62 ,$74.67 ,$68.85 ,$54.91 ,$172.02 ,$144.82 ,$147.67 ,$146.79 ,$146.90 ,$144.32 
3/1/2024,$38.09 ,$36.29 ,$42.29 ,$37.86 ,$31.28 ,$85.68 ,$81.57 ,$79.86 ,$78.33 ,$86.54 ,$86.12 
4/1/2024,$29.82 ,$26.90 ,$29.44 ,$26.93 ,$26.93 ,$47.85 ,$46.64 ,$46.05 ,$46.13 ,$51.62 ,$52.89 
5/1/2024,$21.42 ,$22.36 ,$25.39 ,$26.70 ,$25.64 ,$46.39 ,$43.42 ,$43.78 ,$43.61 ,$45.80 ,$49.29 
6/1/2024,$31.04 ,$26.99 ,$28.90 ,$30.58 ,$30.33 ,$55.67 ,$54.49 ,$55.00 ,$54.93 ,$56.25 ,$63.97 
7/1/2024,$42.67 ,$38.08 ,$41.20 ,$39.23 ,$42.56 ,$67.28 ,$69.36 ,$70.00 ,$69.66 ,$76.43 ,$84.86 
8/1/2024,$37.44 ,$31.49 ,$32.97 ,$32.28 ,$35.68 ,$54.79 ,$56.33 ,$57.06 ,$56.80 ,$62.97 ,$62.93 
9/1/2024,$30.32 ,$26.04 ,$29.51 ,$31.67 ,$30.30 ,$46.98 ,$47.34 ,$47.07 ,$46.95 ,$44.70 ,$50.80 
10/1/2024,$22.04 ,$19.40 ,$21.64 ,$22.29 ,$21.57 ,$44.52 ,$39.33 ,$39.64 ,$40.05 ,$43.90 ,$51.86 
11/1/2024,$22.22 ,$20.47 ,$22.83 ,$24.50 ,$24.63 ,$59.97 ,$50.36 ,$51.46 ,$52.03 ,$55.45 ,$66.17 
12/1/2024,$44.16 ,$42.39 ,$45.85 ,$47.14 ,$40.04 ,$101.04 ,$86.17 ,$85.39 ,$84.27 ,$91.56 ,$90.86 
1/1/2025,$58.60 ,$62.53 ,$66.55 ,$62.24 ,$47.68 ,$165.18 ,$154.85 ,$150.13 ,$155.67 ,$151.71 ,$157.41 
2/1/2025,$53.96 ,$55.09 ,$58.58 ,$53.44 ,$42.22 ,$158.63 ,$141.96 ,$146.62 ,$145.33 ,$140.64 ,$141.50 
