id,curvestart,month,data,control_area,state,load_zone,capacity_zone,utility,strip,cost_group,cost_component,sub_cost_component
388776,2023-03-27 01:01:01+00:00,2022-01-01 00:00:00+00:00,0.01,ISONE,ALL,ALL,ALL,ALL,7X24,ANCILLARIES,GIS,GIS
389014,2023-03-27 01:01:01+00:00,2026-01-01 00:00:00+00:00,0.01,ISONE,ALL,ALL,ALL,ALL,7X24,ANCILLARIES,GIS,GIS
389298,2023-03-27 01:01:01+00:00,2010-10-01 00:00:00+00:00,0.0,ISONE,ALL,ALL,ALL,ALL,7X24,ANCILLARIES,GIS,GIS
389523,2023-03-27 01:01:01+00:00,2014-10-01 00:00:00+00:00,0.01,ISONE,ALL,ALL,ALL,ALL,7X24,ANCILLARIES,GIS,GIS
389844,2023-03-27 01:01:01+00:00,2020-10-01 00:00:00+00:00,0.01,ISONE,ALL,ALL,ALL,ALL,7X24,ANCILLARIES,GIS,GIS
389945,2023-03-27 01:01:01+00:00,2022-10-01 00:00:00+00:00,0.0,ISONE,ME,ME,ME,ALL,7X24,NCPC,RT Economic LSCPR,MAINE
390013,2023-03-27 01:01:01+00:00,2023-10-01 00:00:00+00:00,0.01,ISONE,ALL,ALL,ALL,ALL,7X24,ANCILLARIES,GIS,GIS
390711,2023-03-27 01:01:01+00:00,2014-11-01 00:00:00+00:00,0.01,ISONE,ALL,ALL,ALL,ALL,7X24,ANCILLARIES,GIS,GIS
391097,2023-03-27 01:01:01+00:00,2021-11-01 00:00:00+00:00,0.05,ISONE,ALL,ALL,ALL,ALL,7X24,NCPC,DA Economic,DA Economic
391695,2023-03-27 01:01:01+00:00,2010-12-01 00:00:00+00:00,0.0,ISONE,ALL,ALL,ALL,ALL,7X24,ANCILLARIES,GIS,GIS
392305,2023-03-27 01:01:01+00:00,2021-12-01 00:00:00+00:00,0.01,ISONE,ALL,ALL,ALL,ALL,7X24,ANCILLARIES,GIS,GIS
392445,2023-03-27 01:01:01+00:00,2023-12-01 00:00:00+00:00,0.01,ISONE,ALL,ALL,ALL,ALL,7X24,ANCILLARIES,GIS,GIS
393430,2023-03-27 01:01:01+00:00,2020-02-01 00:00:00+00:00,0.01,ISONE,ALL,ALL,ALL,ALL,7X24,ANCILLARIES,GIS,GIS
393916,2023-03-27 01:01:01+00:00,2028-02-01 00:00:00+00:00,0.01,ISONE,ALL,ALL,ALL,ALL,7X24,ANCILLARIES,GIS,GIS
395280,2023-03-27 01:01:01+00:00,2010-04-01 00:00:00+00:00,0.0,ISONE,ALL,ALL,ALL,ALL,7X24,ANCILLARIES,GIS,GIS
395786,2023-03-27 01:01:01+00:00,2019-04-01 00:00:00+00:00,0.01,ISONE,ALL,ALL,ALL,ALL,7X24,ANCILLARIES,GIS,GIS
