Control Area,ERCOT,ERCOT,ERCOT,ERCOT
ZoneID,42,43,44,45
Zone,NORTH ZONE,HOUSTON ZONE,SOUTH ZONE,WEST ZONE
Month,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE
1/1/2023,$38.57 ,$38.36 ,$36.72 ,$38.13 
2/1/2023,$60.11 ,$58.04 ,$53.13 ,$49.46 
3/1/2023,$44.36 ,$54.17 ,$41.16 ,$34.00 
4/1/2023,$45.84 ,$50.96 ,$43.95 ,$36.22 
5/1/2023,$48.26 ,$53.99 ,$48.23 ,$35.04 
6/1/2023,$57.34 ,$63.27 ,$54.70 ,$49.67 
7/1/2023,$93.90 ,$103.75 ,$98.86 ,$99.31 
8/1/2023,$116.81 ,$134.88 ,$127.19 ,$129.02 
9/1/2023,$60.01 ,$58.20 ,$55.83 ,$55.08 
10/1/2023,$44.62 ,$59.83 ,$45.99 ,$36.94 
11/1/2023,$42.98 ,$53.86 ,$43.16 ,$34.18 
12/1/2023,$50.61 ,$50.28 ,$46.96 ,$42.08 
1/1/2024,$73.56 ,$74.48 ,$62.34 ,$59.65 
2/1/2024,$74.57 ,$76.05 ,$66.23 ,$64.05 
3/1/2024,$49.50 ,$54.04 ,$45.44 ,$37.39 
4/1/2024,$41.50 ,$48.12 ,$39.17 ,$29.30 
5/1/2024,$39.99 ,$45.54 ,$40.08 ,$28.97 
6/1/2024,$46.49 ,$52.48 ,$44.80 ,$34.98 
7/1/2024,$67.84 ,$80.77 ,$73.33 ,$67.23 
8/1/2024,$100.45 ,$123.11 ,$111.69 ,$100.66 
9/1/2024,$48.51 ,$50.88 ,$45.22 ,$42.85 
10/1/2024,$42.22 ,$49.65 ,$42.71 ,$28.92 
11/1/2024,$38.87 ,$44.81 ,$40.13 ,$28.60 
12/1/2024,$43.62 ,$49.37 ,$42.49 ,$30.65 
1/1/2025,$72.99 ,$76.23 ,$50.60 ,$50.79 
2/1/2025,$72.58 ,$75.90 ,$78.64 ,$77.53 
3/1/2025,$45.49 ,$51.07 ,$44.75 ,$44.14 
4/1/2025,$39.28 ,$43.40 ,$39.51 ,$34.36 
5/1/2025,$36.31 ,$42.32 ,$39.50 ,$34.77 
6/1/2025,$42.08 ,$52.54 ,$42.68 ,$37.77 
7/1/2025,$62.27 ,$72.29 ,$60.97 ,$59.25 
8/1/2025,$90.21 ,$98.89 ,$85.15 ,$81.33 
9/1/2025,$42.50 ,$51.72 ,$40.62 ,$38.17 
10/1/2025,$43.99 ,$49.75 ,$42.98 ,$41.53 
11/1/2025,$37.77 ,$45.13 ,$39.98 ,$36.46 
12/1/2025,$41.76 ,$48.55 ,$40.55 ,$38.39 
1/1/2026,$71.54 ,$72.78 ,$68.18 ,$69.39 
2/1/2026,$68.18 ,$69.56 ,$64.57 ,$72.41 
3/1/2026,$42.31 ,$45.90 ,$44.80 ,$45.84 
4/1/2026,$35.36 ,$38.87 ,$38.26 ,$34.42 
5/1/2026,$31.42 ,$34.27 ,$35.94 ,$36.01 
6/1/2026,$37.56 ,$48.25 ,$40.52 ,$37.73 
7/1/2026,$59.94 ,$67.66 ,$58.39 ,$58.39 
8/1/2026,$85.07 ,$93.36 ,$82.35 ,$81.61 
9/1/2026,$39.28 ,$50.15 ,$39.63 ,$39.45 
10/1/2026,$38.12 ,$41.88 ,$39.42 ,$39.99 
11/1/2026,$35.34 ,$39.70 ,$38.45 ,$37.16 
12/1/2026,$38.24 ,$42.67 ,$39.26 ,$39.34 
1/1/2027,$70.76 ,$73.51 ,$52.46 ,$70.80 
2/1/2027,$67.86 ,$70.78 ,$81.68 ,$74.47 
3/1/2027,$41.37 ,$44.02 ,$43.26 ,$46.22 
4/1/2027,$35.11 ,$37.75 ,$37.47 ,$35.71 
5/1/2027,$31.07 ,$34.35 ,$34.41 ,$36.00 
6/1/2027,$36.97 ,$47.97 ,$38.25 ,$36.80 
7/1/2027,$58.49 ,$67.04 ,$60.10 ,$54.68 
8/1/2027,$82.82 ,$90.01 ,$81.91 ,$73.92 
9/1/2027,$39.98 ,$51.06 ,$38.51 ,$39.47 
10/1/2027,$37.14 ,$42.33 ,$37.81 ,$38.76 
11/1/2027,$35.27 ,$41.05 ,$37.60 ,$36.91 
12/1/2027,$38.65 ,$44.77 ,$38.58 ,$39.56 
1/1/2028,$73.98 ,$78.44 ,$72.70 ,$67.75 
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
