Control Area,PJM,PJM,PJM,PJM,PJM,PJM,PJM,PJM,PJM,PJM,PJM,PJM,PJM,PJM,PJM,PJM,PJM,PJM,PJM,PJM,PJM,PJM,PJM
ZoneID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,47,48,49,51
Zone,AECO,AEP,APS,ATSI,BGE,COMED,DAY,DEOK,DOM,DPL,DUQ,JCPL,METED,PECO,PENELEC,PEPCO,PPL,PSEG,RECO,WEST HUB,AD HUB,NI HUB,EAST HUB
Month,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE
1/1/2023,$55.20 ,$57.63 ,$59.62 ,$58.11 ,$76.64 ,$51.17 ,$65.42 ,$60.96 ,$73.72 ,$68.31 ,$56.44 ,$63.02 ,$64.08 ,$59.27 ,$56.77 ,$73.69 ,$59.24 ,$64.95 ,$67.66 ,$61.79 ,$56.54 ,$48.01 ,$64.38 
2/1/2023,$78.23 ,$71.53 ,$78.60 ,$71.25 ,$95.98 ,$62.73 ,$83.16 ,$74.47 ,$102.23 ,$92.17 ,$68.26 ,$85.53 ,$86.85 ,$81.45 ,$76.19 ,$94.84 ,$84.50 ,$88.67 ,$90.60 ,$82.65 ,$69.88 ,$60.61 ,$87.48 
3/1/2023,$48.40 ,$51.50 ,$53.28 ,$53.15 ,$66.36 ,$47.80 ,$55.88 ,$53.67 ,$63.26 ,$57.64 ,$49.40 ,$47.03 ,$51.66 ,$39.06 ,$48.56 ,$62.81 ,$46.56 ,$43.51 ,$48.23 ,$53.70 ,$50.28 ,$45.61 ,$53.79 
4/1/2023,$43.28 ,$50.15 ,$49.09 ,$50.48 ,$61.07 ,$44.42 ,$51.30 ,$51.69 ,$57.35 ,$51.78 ,$49.27 ,$43.82 ,$46.07 ,$34.47 ,$46.47 ,$60.61 ,$43.07 ,$36.96 ,$41.96 ,$49.36 ,$49.11 ,$42.35 ,$48.87 
5/1/2023,$43.37 ,$50.51 ,$49.81 ,$51.43 ,$60.96 ,$44.97 ,$50.46 ,$52.32 ,$58.03 ,$51.17 ,$49.32 ,$44.22 ,$47.37 ,$35.10 ,$46.44 ,$60.94 ,$42.96 ,$36.29 ,$43.08 ,$50.30 ,$49.84 ,$43.35 ,$49.66 
6/1/2023,$50.96 ,$56.72 ,$55.18 ,$57.80 ,$69.75 ,$54.64 ,$58.84 ,$59.36 ,$65.35 ,$51.85 ,$55.29 ,$49.18 ,$52.69 ,$38.75 ,$52.72 ,$68.64 ,$50.68 ,$43.03 ,$47.77 ,$56.28 ,$57.00 ,$53.47 ,$56.06 
7/1/2023,$71.64 ,$76.23 ,$74.71 ,$77.77 ,$92.43 ,$76.31 ,$79.39 ,$78.91 ,$87.01 ,$75.55 ,$75.09 ,$64.61 ,$75.52 ,$59.62 ,$73.13 ,$92.27 ,$70.42 ,$65.66 ,$71.63 ,$76.99 ,$76.18 ,$74.14 ,$80.18 
8/1/2023,$63.74 ,$67.79 ,$65.93 ,$69.34 ,$82.92 ,$67.85 ,$70.16 ,$69.86 ,$77.51 ,$67.22 ,$66.81 ,$57.50 ,$66.88 ,$52.49 ,$64.69 ,$83.31 ,$62.16 ,$56.98 ,$63.42 ,$68.18 ,$67.53 ,$65.72 ,$71.28 
9/1/2023,$46.52 ,$53.15 ,$51.87 ,$54.44 ,$66.79 ,$51.24 ,$54.24 ,$55.69 ,$62.29 ,$48.77 ,$52.92 ,$44.24 ,$48.78 ,$35.19 ,$50.63 ,$63.37 ,$45.92 ,$39.56 ,$47.08 ,$53.15 ,$53.61 ,$49.46 ,$52.51 
10/1/2023,$41.78 ,$48.29 ,$46.97 ,$48.66 ,$56.78 ,$43.64 ,$50.14 ,$49.75 ,$55.39 ,$44.83 ,$48.49 ,$39.14 ,$45.64 ,$35.17 ,$44.22 ,$57.84 ,$41.29 ,$35.21 ,$39.56 ,$47.88 ,$48.49 ,$43.09 ,$47.39 
11/1/2023,$47.59 ,$49.11 ,$51.24 ,$49.35 ,$61.81 ,$47.49 ,$53.12 ,$50.87 ,$60.05 ,$50.46 ,$50.73 ,$45.50 ,$50.41 ,$38.55 ,$49.00 ,$64.08 ,$49.36 ,$46.37 ,$49.32 ,$52.58 ,$50.98 ,$46.40 ,$52.15 
12/1/2023,$64.71 ,$63.04 ,$66.49 ,$63.70 ,$77.43 ,$61.07 ,$68.22 ,$64.69 ,$75.88 ,$66.04 ,$63.56 ,$62.10 ,$68.09 ,$61.71 ,$62.63 ,$78.99 ,$62.66 ,$63.20 ,$66.48 ,$67.76 ,$63.83 ,$59.01 ,$69.27 
1/1/2024,$100.05 ,$85.97 ,$97.89 ,$87.19 ,$114.35 ,$76.50 ,$101.75 ,$86.80 ,$111.92 ,$102.16 ,$82.78 ,$93.87 ,$105.93 ,$101.12 ,$97.97 ,$114.89 ,$101.09 ,$103.30 ,$107.26 ,$102.00 ,$84.87 ,$76.35 ,$109.73 
2/1/2024,$91.31 ,$80.72 ,$89.78 ,$81.94 ,$106.66 ,$71.65 ,$94.85 ,$81.16 ,$103.41 ,$95.26 ,$78.45 ,$85.37 ,$97.43 ,$93.04 ,$90.87 ,$107.03 ,$93.09 ,$95.25 ,$99.19 ,$93.83 ,$78.07 ,$69.53 ,$101.56 
3/1/2024,$49.91 ,$52.32 ,$52.88 ,$52.97 ,$65.46 ,$48.00 ,$54.70 ,$52.49 ,$62.36 ,$53.90 ,$51.72 ,$45.79 ,$53.38 ,$43.83 ,$53.66 ,$63.41 ,$51.33 ,$47.77 ,$53.00 ,$55.29 ,$51.60 ,$46.80 ,$55.05 
