Load Zone,State,Term (Months),Beginning Date,Energy,Variable Load Risk (VLR)
NEMASSBOST,MA,1,2/1/2023,$171.92 ,6.4304
NEMASSBOST,MA,1,3/1/2023,$105.24 ,4.7755
NEMASSBOST,MA,1,4/1/2023,$64.19 ,1.529325
NEMASSBOST,MA,1,5/1/2023,$48.60 ,2.0953
NEMASSBOST,MA,1,6/1/2023,$52.20 ,2.71824
NEMASSBOST,MA,1,7/1/2023,$65.31 ,5.5638
NEMASSBOST,MA,1,8/1/2023,$61.91 ,4.1362
NEMASSBOST,MA,1,9/1/2023,$47.06 ,1.53118
NEMASSBOST,MA,1,10/1/2023,$47.35 ,1.2888
NEMASSBOST,MA,1,11/1/2023,$89.94 ,2.7249
NEMASSBOST,MA,1,12/1/2023,$167.24 ,4.4292
NEMASSBOST,MA,1,1/1/2024,$219.87 ,9.8834
NEMASSBOST,MA,1,2/1/2024,$211.25 ,7.9463
NEMASSBOST,MA,1,3/1/2024,$93.98 ,4.2208
NEMASSBOST,MA,1,4/1/2024,$56.84 ,1.34415
NEMASSBOST,MA,1,5/1/2024,$39.25 ,2.38042
NEMASSBOST,MA,1,6/1/2024,$42.92 ,2.18764
NEMASSBOST,MA,1,7/1/2024,$60.02 ,5.1036
NEMASSBOST,MA,1,8/1/2024,$56.55 ,3.7209
NEMASSBOST,MA,1,9/1/2024,$39.02 ,2.0295
NEMASSBOST,MA,1,10/1/2024,$42.08 ,1.1376
NEMASSBOST,MA,1,11/1/2024,$79.94 ,2.4422
NEMASSBOST,MA,1,12/1/2024,$133.33 ,3.5186
NEMASSBOST,MA,1,1/1/2025,$177.66 ,7.8882
NEMASSBOST,MA,1,2/1/2025,$172.10 ,6.4246
NEMASSBOST,MA,1,3/1/2025,$73.21 ,3.2808
NEMASSBOST,MA,1,4/1/2025,$43.36 ,1.025325
NEMASSBOST,MA,1,5/1/2025,$41.38 ,2.61352
NEMASSBOST,MA,1,6/1/2025,$42.22 ,2.17434
NEMASSBOST,MA,1,7/1/2025,$53.16 ,4.5036
NEMASSBOST,MA,1,8/1/2025,$49.52 ,3.236
NEMASSBOST,MA,1,9/1/2025,$38.31 ,1.942875
NEMASSBOST,MA,1,10/1/2025,$39.72 ,1.0656
NEMASSBOST,MA,1,11/1/2025,$60.12 ,2.58356
NEMASSBOST,MA,1,12/1/2025,$105.67 ,2.7955
NEMASSBOST,MA,1,1/1/2026,$132.53 ,6.0293
NEMASSBOST,MA,1,2/1/2026,$126.81 ,4.7485
NEMASSBOST,MA,1,3/1/2026,$68.11 ,3.0673
NEMASSBOST,MA,1,4/1/2026,$52.83 ,1.2492
NEMASSBOST,MA,1,5/1/2026,$46.24 ,2.1959
NEMASSBOST,MA,1,6/1/2026,$47.57 ,2.47156
NEMASSBOST,MA,1,7/1/2026,$59.27 ,5.0522
NEMASSBOST,MA,1,8/1/2026,$54.57 ,3.6177
NEMASSBOST,MA,1,9/1/2026,$47.07 ,1.48232
NEMASSBOST,MA,1,10/1/2026,$47.62 ,1.2978
NEMASSBOST,MA,1,11/1/2026,$57.08 ,2.43376
NEMASSBOST,MA,1,12/1/2026,$77.61 ,2.0382
NEMASSBOST,MA,1,1/1/2027,$130.13 ,5.992
NEMASSBOST,MA,1,2/1/2027,$123.50 ,4.598
NEMASSBOST,MA,1,3/1/2027,$73.94 ,3.2942
NEMASSBOST,MA,1,4/1/2027,$57.63 ,1.3626
NEMASSBOST,MA,1,5/1/2027,$49.86 ,2.383
NEMASSBOST,MA,1,6/1/2027,$50.99 ,2.68226
NEMASSBOST,MA,1,7/1/2027,$62.01 ,5.31
NEMASSBOST,MA,1,8/1/2027,$58.21 ,3.8581
NEMASSBOST,MA,1,9/1/2027,$50.91 ,1.61112
NEMASSBOST,MA,1,10/1/2027,$51.57 ,1.42335
NEMASSBOST,MA,1,11/1/2027,$62.27 ,2.6012
NEMASSBOST,MA,1,12/1/2027,$84.05 ,2.1928
NEMASSBOST,MA,1,1/1/2028,$124.27 ,5.6073
SEMASS,MA,1,2/1/2023,$167.55 ,8.4051
SEMASS,MA,1,3/1/2023,$103.00 ,5.6642
SEMASS,MA,1,4/1/2023,$64.04 ,1.527075
SEMASS,MA,1,5/1/2023,$48.82 ,2.3552
SEMASS,MA,1,6/1/2023,$51.96 ,2.3367
SEMASS,MA,1,7/1/2023,$64.79 ,5.7175
SEMASS,MA,1,8/1/2023,$61.34 ,4.534
SEMASS,MA,1,9/1/2023,$46.72 ,1.67874
SEMASS,MA,1,10/1/2023,$47.37 ,1.48995
SEMASS,MA,1,11/1/2023,$89.56 ,3.3104
SEMASS,MA,1,12/1/2023,$167.17 ,4.9442
SEMASS,MA,1,1/1/2024,$216.47 ,12.2341
SEMASS,MA,1,2/1/2024,$207.99 ,10.421
SEMASS,MA,1,3/1/2024,$92.00 ,5.0232
SEMASS,MA,1,4/1/2024,$56.34 ,1.309275
SEMASS,MA,1,5/1/2024,$39.02 ,2.66112
SEMASS,MA,1,6/1/2024,$42.66 ,2.67218
SEMASS,MA,1,7/1/2024,$59.28 ,5.2192
SEMASS,MA,1,8/1/2024,$55.96 ,4.0754
SEMASS,MA,1,9/1/2024,$38.85 ,1.40014
SEMASS,MA,1,10/1/2024,$41.92 ,1.324575
SEMASS,MA,1,11/1/2024,$78.68 ,2.963
SEMASS,MA,1,12/1/2024,$132.10 ,3.8677
SEMASS,MA,1,1/1/2025,$177.07 ,9.9109
SEMASS,MA,1,2/1/2025,$171.01 ,8.5892
SEMASS,MA,1,3/1/2025,$72.40 ,3.9495
SEMASS,MA,1,4/1/2025,$42.93 ,0.981675
SEMASS,MA,1,5/1/2025,$41.05 ,2.0756
SEMASS,MA,1,6/1/2025,$41.92 ,2.65132
SEMASS,MA,1,7/1/2025,$52.63 ,4.6104
SEMASS,MA,1,8/1/2025,$49.12 ,3.5309
SEMASS,MA,1,9/1/2025,$38.19 ,2.133675
SEMASS,MA,1,10/1/2025,$39.50 ,1.228275
SEMASS,MA,1,11/1/2025,$60.19 ,2.3141
SEMASS,MA,1,12/1/2025,$105.26 ,3.075
SEMASS,MA,1,1/1/2026,$131.63 ,7.4701
SEMASS,MA,1,2/1/2026,$125.32 ,6.2897
SEMASS,MA,1,3/1/2026,$67.33 ,3.6778
SEMASS,MA,1,4/1/2026,$52.15 ,1.1988
SEMASS,MA,1,5/1/2026,$45.67 ,2.4228
SEMASS,MA,1,6/1/2026,$47.05 ,2.1355
SEMASS,MA,1,7/1/2026,$58.27 ,5.1199
SEMASS,MA,1,8/1/2026,$53.71 ,3.9155
SEMASS,MA,1,9/1/2026,$46.94 ,1.62708
SEMASS,MA,1,10/1/2026,$47.12 ,1.4886
SEMASS,MA,1,11/1/2026,$56.24 ,2.1169
SEMASS,MA,1,12/1/2026,$76.44 ,2.2157
SEMASS,MA,1,1/1/2027,$129.01 ,7.3548
SEMASS,MA,1,2/1/2027,$122.31 ,6.1484
SEMASS,MA,1,3/1/2027,$72.95 ,3.937
SEMASS,MA,1,4/1/2027,$56.44 ,1.2906
SEMASS,MA,1,5/1/2027,$48.72 ,2.6131
SEMASS,MA,1,6/1/2027,$49.97 ,2.3088
SEMASS,MA,1,7/1/2027,$60.67 ,5.3955
SEMASS,MA,1,8/1/2027,$57.07 ,4.1934
SEMASS,MA,1,9/1/2027,$50.25 ,1.75364
SEMASS,MA,1,10/1/2027,$50.47 ,1.615725
SEMASS,MA,1,11/1/2027,$61.06 ,2.245
SEMASS,MA,1,12/1/2027,$83.18 ,2.3908
SEMASS,MA,1,1/1/2028,$123.19 ,6.9477
