Month,Cost,Match Col,REC Price Date,NY,NY,NY,NY,NY,NY,,NY,NY,NY,NY
1/1/2012, $-   ,,1/0/1900,EY,Total Cost per MWh,Class I,Class I Price,Class II,Class II Price,,EY,Total Cost per MWh (ZEC Rate),Class III (ZEC),Class III Price
2/1/2012, $-   ,,,1/1/2012,$0.00,0.00%,$0.00,0.0%, $-   ,,1/1/2012,$0.00,0.00%,$0.00
3/1/2012, $-   ,,,2/1/2012,$0.00,0.00%,$0.00,0.0%, $-   ,,2/1/2012,$0.00,0.00%,$0.00
4/1/2012, $-   ,,,3/1/2012,$0.00,0.00%,$0.00,0.0%, $-   ,,3/1/2012,$0.00,0.00%,$0.00
5/1/2012, $-   ,,,4/1/2012,$0.00,0.00%,$0.00,0.0%, $-   ,,4/1/2012,$0.00,0.00%,$0.00
6/1/2012, $-   ,,,5/1/2012,$0.00,0.00%,$0.00,0.0%, $-   ,,5/1/2012,$0.00,0.00%,$0.00
7/1/2012, $-   ,,,6/1/2012,$0.00,0.00%,$0.00,0.0%, $-   ,,6/1/2012,$0.00,0.00%,$0.00
8/1/2012, $-   ,,,7/1/2012,$0.00,0.00%,$0.00,0.0%, $-   ,,7/1/2012,$0.00,0.00%,$0.00
9/1/2012, $-   ,,,8/1/2012,$0.00,0.00%,$0.00,0.0%, $-   ,,8/1/2012,$0.00,0.00%,$0.00
10/1/2012, $-   ,,,9/1/2012,$0.00,0.00%,$0.00,0.0%, $-   ,,9/1/2012,$0.00,0.00%,$0.00
11/1/2012, $-   ,,,10/1/2012,$0.00,0.00%,$0.00,0.0%, $-   ,,10/1/2012,$0.00,0.00%,$0.00
12/1/2012, $-   ,,,11/1/2012,$0.00,0.00%,$0.00,0.0%, $-   ,,11/1/2012,$0.00,0.00%,$0.00
1/1/2013, $-   ,,,12/1/2012,$0.00,0.00%,$0.00,0.0%, $-   ,,12/1/2012,$0.00,0.00%,$0.00
2/1/2013, $-   ,,,1/1/2013,$0.00,0.00%,$0.00,0.0%, $-   ,,1/1/2013,$0.00,0.00%,$0.00
3/1/2013, $-   ,,,2/1/2013,$0.00,0.00%,$0.00,0.0%, $-   ,,2/1/2013,$0.00,0.00%,$0.00
4/1/2013, $-   ,,,3/1/2013,$0.00,0.00%,$0.00,0.0%, $-   ,,3/1/2013,$0.00,0.00%,$0.00
5/1/2013, $-   ,,,4/1/2013,$0.00,0.00%,$0.00,0.0%, $-   ,,4/1/2013,$0.00,0.00%,$0.00
6/1/2013, $-   ,,,5/1/2013,$0.00,0.00%,$0.00,0.0%, $-   ,,5/1/2013,$0.00,0.00%,$0.00
7/1/2013, $-   ,,,6/1/2013,$0.00,0.00%,$0.00,0.0%, $-   ,,6/1/2013,$0.00,0.00%,$0.00
8/1/2013, $-   ,,,7/1/2013,$0.00,0.00%,$0.00,0.0%, $-   ,,7/1/2013,$0.00,0.00%,$0.00
9/1/2013, $-   ,,,8/1/2013,$0.00,0.00%,$0.00,0.0%, $-   ,,8/1/2013,$0.00,0.00%,$0.00
10/1/2013, $-   ,,,9/1/2013,$0.00,0.00%,$0.00,0.0%, $-   ,,9/1/2013,$0.00,0.00%,$0.00
11/1/2013, $-   ,,,10/1/2013,$0.00,0.00%,$0.00,0.0%, $-   ,,10/1/2013,$0.00,0.00%,$0.00
12/1/2013, $-   ,,,11/1/2013,$0.00,0.00%,$0.00,0.0%, $-   ,,11/1/2013,$0.00,0.00%,$0.00
1/1/2014, $-   ,,,12/1/2013,$0.00,0.00%,$0.00,0.0%, $-   ,,12/1/2013,$0.00,0.00%,$0.00
2/1/2014, $-   ,,,1/1/2014,$0.00,0.00%,$0.00,0.0%, $-   ,,1/1/2014,$0.00,0.00%,$0.00
3/1/2014, $-   ,,,2/1/2014,$0.00,0.00%,$0.00,0.0%, $-   ,,2/1/2014,$0.00,0.00%,$0.00
4/1/2014, $-   ,,,3/1/2014,$0.00,0.00%,$0.00,0.0%, $-   ,,3/1/2014,$0.00,0.00%,$0.00
5/1/2014, $-   ,,,4/1/2014,$0.00,0.00%,$0.00,0.0%, $-   ,,4/1/2014,$0.00,0.00%,$0.00
6/1/2014, $-   ,,,5/1/2014,$0.00,0.00%,$0.00,0.0%, $-   ,,5/1/2014,$0.00,0.00%,$0.00
7/1/2014, $-   ,,,6/1/2014,$0.00,0.00%,$0.00,0.0%, $-   ,,6/1/2014,$0.00,0.00%,$0.00
8/1/2014, $-   ,,,7/1/2014,$0.00,0.00%,$0.00,0.0%, $-   ,,7/1/2014,$0.00,0.00%,$0.00
9/1/2014, $-   ,,,8/1/2014,$0.00,0.00%,$0.00,0.0%, $-   ,,8/1/2014,$0.00,0.00%,$0.00
10/1/2014, $-   ,,,9/1/2014,$0.00,0.00%,$0.00,0.0%, $-   ,,9/1/2014,$0.00,0.00%,$0.00
11/1/2014, $-   ,,,10/1/2014,$0.00,0.00%,$0.00,0.0%, $-   ,,10/1/2014,$0.00,0.00%,$0.00
12/1/2014, $-   ,,,11/1/2014,$0.00,0.00%,$0.00,0.0%, $-   ,,11/1/2014,$0.00,0.00%,$0.00
1/1/2015, $-   ,,,12/1/2014,$0.00,0.00%,$0.00,0.0%, $-   ,,12/1/2014,$0.00,0.00%,$0.00
2/1/2015, $-   ,,,1/1/2015,$0.00,0.00%,$0.00,0.0%, $-   ,,1/1/2015,$0.00,0.00%,$0.00
3/1/2015, $-   ,,,2/1/2015,$0.00,0.00%,$0.00,0.0%, $-   ,,2/1/2015,$0.00,0.00%,$0.00
4/1/2015, $-   ,,,3/1/2015,$0.00,0.00%,$0.00,0.0%, $-   ,,3/1/2015,$0.00,0.00%,$0.00
5/1/2015, $-   ,,,4/1/2015,$0.00,0.00%,$0.00,0.0%, $-   ,,4/1/2015,$0.00,0.00%,$0.00
6/1/2015, $-   ,,,5/1/2015,$0.00,0.00%,$0.00,0.0%, $-   ,,5/1/2015,$0.00,0.00%,$0.00
7/1/2015, $-   ,,,6/1/2015,$0.00,0.00%,$0.00,0.0%, $-   ,,6/1/2015,$0.00,0.00%,$0.00
8/1/2015, $-   ,,,7/1/2015,$0.00,0.00%,$0.00,0.0%, $-   ,,7/1/2015,$0.00,0.00%,$0.00
9/1/2015, $-   ,,,8/1/2015,$0.00,0.00%,$0.00,0.0%, $-   ,,8/1/2015,$0.00,0.00%,$0.00
10/1/2015, $-   ,,,9/1/2015,$0.00,0.00%,$0.00,0.0%, $-   ,,9/1/2015,$0.00,0.00%,$0.00
11/1/2015, $-   ,,,10/1/2015,$0.00,0.00%,$0.00,0.0%, $-   ,,10/1/2015,$0.00,0.00%,$0.00
12/1/2015, $-   ,,,11/1/2015,$0.00,0.00%,$0.00,0.0%, $-   ,,11/1/2015,$0.00,0.00%,$0.00
1/1/2016, $-   ,,,12/1/2015,$0.00,0.00%,$0.00,0.0%, $-   ,,12/1/2015,$0.00,0.00%,$0.00
2/1/2016, $-   ,,,1/1/2016,$0.00,0.00%,$0.00,0.0%, $-   ,,1/1/2016,$0.00,0.00%,$0.00
3/1/2016, $-   ,,,2/1/2016,$0.00,0.00%,$0.00,0.0%, $-   ,,2/1/2016,$0.00,0.00%,$0.00
4/1/2016, $-   ,,,3/1/2016,$0.00,0.00%,$0.00,0.0%, $-   ,,3/1/2016,$0.00,0.00%,$0.00
5/1/2016, $-   ,,,4/1/2016,$0.00,0.00%,$0.00,0.0%, $-   ,,4/1/2016,$0.00,0.00%,$0.00
6/1/2016, $-   ,,,5/1/2016,$0.00,0.00%,$0.00,0.0%, $-   ,,5/1/2016,$0.00,0.00%,$0.00
7/1/2016, $-   ,,,6/1/2016,$0.00,0.00%,$0.00,0.0%, $-   ,,6/1/2016,$0.00,0.00%,$0.00
8/1/2016, $-   ,,,7/1/2016,$0.00,0.00%,$0.00,0.0%, $-   ,,7/1/2016,$0.00,0.00%,$0.00
9/1/2016, $-   ,,,8/1/2016,$0.00,0.00%,$0.00,0.0%, $-   ,,8/1/2016,$0.00,0.00%,$0.00
10/1/2016, $-   ,,,9/1/2016,$0.00,0.00%,$0.00,0.0%, $-   ,,9/1/2016,$0.00,0.00%,$0.00
11/1/2016, $-   ,,,10/1/2016,$0.00,0.00%,$0.00,0.0%, $-   ,,10/1/2016,$0.00,0.00%,$0.00
12/1/2016, $-   ,,,11/1/2016,$0.00,0.00%,$0.00,0.0%, $-   ,,11/1/2016,$0.00,0.00%,$0.00
1/1/2017, $0.13 ,,,12/1/2016,$0.00,0.00%,$0.00,0.0%, $-   ,,12/1/2016,$0.00,0.00%,$0.00
