   id   |       curvestart       |        curveend        |         month          |    data     | control_area | state |  load_zone   | capacity_zone | utility | strip |   cost_group    |        cost_component        |      sub_cost_component      
--------+------------------------+------------------------+------------------------+-------------+--------------+-------+--------------+---------------+---------+-------+-----------------+------------------------------+------------------------------
 388057 | 2023-03-27 01:01:00+00 | 2023-03-27 01:01:01+00 | 2010-01-01 00:00:00+00 |  0.00000000 | ISONE        | ALL   | ALL          | ALL           | ALL     | 7X24  | NCPC            | DA Economic                  | DA Economic
 388058 | 2023-03-27 01:01:00+00 | 2023-03-27 01:01:01+00 | 2010-01-01 00:00:00+00 |  0.00000000 | ISONE        | ALL   | ALL          | ALL           | ALL     | 7X24  | ANCILLARIES     | GIS                          | GIS
 388059 | 2023-03-27 01:01:00+00 | 2023-03-27 01:01:01+00 | 2010-01-01 00:00:00+00 |  0.00000000 | ISONE        | MA    | WCMASS       | WCMASS        | ALL     | 7X24  | NCPC            | Second Contingency           | WCMASS
 388060 | 2023-03-27 01:01:00+00 | 2023-03-27 01:01:01+00 | 2010-01-01 00:00:00+00 |  0.00000000 | ISONE        | MA    | NEMASSBOST   | NEMASSBOST    | ALL     | 7X24  | AUCTION REVENUE | Auction Revenue Rights       | NEMASSBOST
 388061 | 2023-03-27 01:01:00+00 | 2023-03-27 01:01:01+00 | 2010-01-01 00:00:00+00 |  0.00000000 | ISONE        | CT    | CT           | CT            | ALL     | 7X24  | AUCTION REVENUE | Auction Revenue Rights       | CONNECTICUT
 388062 | 2023-03-27 01:01:00+00 | 2023-03-27 01:01:01+00 | 2010-01-01 00:00:00+00 |  0.00000000 | ISONE        | VT    | VT           | VT            | ALL     | 7X24  | NCPC            | Second Contingency           | VERMONT
 388063 | 2023-03-27 01:01:00+00 | 2023-03-27 01:01:01+00 | 2010-01-01 00:00:00+00 |  0.00000000 | ISONE        | MA    | SEMASS       | SEMASS        | ALL     | 7X24  | CAPACITY SCALER | CAPACITY SCALER              | SEMASS
 388064 | 2023-03-27 01:01:00+00 | 2023-03-27 01:01:01+00 | 2010-01-01 00:00:00+00 |  0.00000000 | ISONE        | MA    | WCMASS       | WCMASS        | ALL     | 7X24  | CAPACITY        | CAPACITY                     | WCMASS
 388065 | 2023-03-27 01:01:00+00 | 2023-03-27 01:01:01+00 | 2010-01-01 00:00:00+00 |  0.00000000 | ISONE        | NH    | NH           | NH            | ALL     | 7X24  | NCPC            | Second Contingency           | NEWHAMPSHIRE
 388066 | 2023-03-27 01:01:00+00 | 2023-03-27 01:01:01+00 | 2010-01-01 00:00:00+00 |  0.00000000 | ISONE        | ME    | MAINE        | MAINE         | ALL     | 7X24  | CAPACITY        | CAPACITY                     | MAINE
 388067 | 2023-03-27 01:01:00+00 | 2023-03-27 01:01:01+00 | 2010-01-01 00:00:00+00 |  0.00000000 | ISONE        | MA    | NEMASSBOST   | NEMASSBOST    | ALL     | 7X24  | NCPC            | Second Contingency           | NEMASSBOST
 388068 | 2023-03-27 01:01:00+00 | 2023-03-27 01:01:01+00 | 2010-01-01 00:00:00+00 |  0.00000000 | ISONE        | NH    | NEWHAMPSHIRE | NEWHAMPSHIRE  | ALL     | 7X24  | CAPACITY SCALER | CAPACITY SCALER              | NEWHAMPSHIRE
 388069 | 2023-03-27 01:01:00+00 | 2023-03-27 01:01:01+00 | 2010-01-01 00:00:00+00 |  0.00000000 | ISONE        | ME    | ME           | ME            | ALL     | 7X24  | AUCTION REVENUE | Auction Revenue Rights       | MAINE
 388070 | 2023-03-27 01:01:00+00 | 2023-03-27 01:01:01+00 | 2010-01-01 00:00:00+00 |  0.00000000 | ISONE        | RI    | RI           | RI            | ALL     | 7X24  | ANCILLARIES     | Forward Reserves             | RHODEISLAND
